Epoch,Training,Train Loss,Val Loss,Train Accuracy,Val Accuracy
1,2,1.392,1.5105,32.35%,9.70%
2,4,1.3132,1.5959,39.57%,10.63%
3,6,1.2544,1.6465,43.03%,11.24%
4,8,1.2213,1.7064,45.41%,12.87%
5,10,1.1792,1.6916,47.76%,13.39%
6,12,1.1552,1.7372,49.97%,13.59%
7,14,1.1293,1.7215,50.88%,14.84%
8,16,1.114,1.733,52.16%,15.13%
9,18,1.0985,1.7171,52.95%,16.28%
10,20,1.0804,1.7131,54.14%,17.93%
11,22,1.0616,1.6804,54.32%,19.60%
12,24,1.0498,1.6936,55.37%,19.08%
13,26,1.0377,1.6729,56.03%,20.14%
14,28,1.0243,1.6475,56.65%,22.18%
15,30,1.0072,1.6499,57.01%,22.74%
16,32,0.9948,1.6065,58.62%,25.28%
17,34,0.9851,1.6234,58.70%,25.24%
18,36,0.9734,1.5852,59.03%,26.54%
19,38,0.9641,1.5364,59.45%,29.88%
20,40,0.9512,1.5212,60.42%,30.49%
21,42,0.9402,1.5298,61.20%,30.75%
22,44,0.9218,1.5162,61.88%,31.92%
23,46,0.9156,1.4797,62.57%,32.66%
24,48,0.9057,1.5046,62.82%,31.62%
25,50,0.9001,1.4827,63.96%,33.77%
26,52,0.8816,1.4649,63.77%,34.11%
27,54,0.8793,1.4424,64.02%,35.03%
28,56,0.8581,1.4062,65.51%,36.22%
29,58,0.8498,1.3811,65.89%,38.39%
30,60,0.846,1.4083,65.98%,37.22%
31,62,0.8252,1.3252,67.24%,40.69%
32,64,0.8281,1.3571,66.53%,39.39%
33,66,0.8161,1.3098,67.31%,41.45%
34,68,0.8077,1.3223,67.81%,40.95%
35,70,0.7934,1.2841,68.93%,42.88%
36,72,0.7919,1.2585,69.33%,44.05%
37,74,0.7765,1.2444,69.48%,45.05%
38,76,0.7695,1.2441,69.87%,44.40%
39,78,0.758,1.2091,70.47%,46.01%
40,80,0.746,1.2374,71.17%,45.33%
41,82,0.7485,1.1489,70.88%,49.61%
42,84,0.724,1.1724,72.21%,48.16%
43,86,0.7207,1.1685,72.09%,49.18%
44,88,0.7171,1.1251,72.50%,50.67%
45,90,0.7136,1.116,72.40%,51.80%
46,92,0.7056,1.1163,73.42%,51.52%
47,94,0.6932,1.1152,73.47%,51.78%
48,96,0.6825,1.0915,74.00%,53.19%
49,98,0.6769,1.0487,74.47%,55.23%
50,100,0.6636,1.059,75.10%,54.77%
